Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
Brucella vulpis	Bacteria	Proteobacteria	Alphaproteobacteria	3.23814	57.1328	3046	2669
Bryobacter aggregatus	Bacteria	Acidobacteria	Solibacteres	5.74799	0	0	0
Buchnera aphidicola	Bacteria	Proteobacteria	Gammaproteobacteria	0.638851	0	0	0
Budvicia aquatica	Bacteria	Proteobacteria	Gammaproteobacteria	5.66873	0	0	0
Bulleidia extructa	Bacteria	Terrabacteria group	Firmicutes	1.41958	0	0	0
Burkholderia	Bacteria	Proteobacteria	Betaproteobacteria	6.38738	0	0	0
Burkholderia acidipaludis	Bacteria	Proteobacteria	Betaproteobacteria	6.47543	0	0	0
Burkholderia ambifaria	Bacteria	Proteobacteria	Betaproteobacteria	8.0959	65.7	7207	6911
Burkholderia andropogonis	Bacteria	Proteobacteria	Betaproteobacteria	6.17866	58.9	5414	4902
Burkholderia anthina	Bacteria	Proteobacteria	Betaproteobacteria	7.5323	67.2174	6708	6523
Burkholderia bannensis	Bacteria	Proteobacteria	Betaproteobacteria	8.64877	0	0	0
Burkholderia bryophila	Bacteria	Proteobacteria	Betaproteobacteria	7.38182	0	0	0
Burkholderia caledonica	Bacteria	Proteobacteria	Betaproteobacteria	7.28235	0	0	0
Burkholderia caribensis	Bacteria	Proteobacteria	Betaproteobacteria	9.4827	62.5464	7897	7653
Burkholderia cenocepacia	Bacteria	Proteobacteria	Betaproteobacteria	8.05578	67.5	8074	7807
Burkholderia cepacia	Bacteria	Proteobacteria	Betaproteobacteria	8.94713	67.2	7994	7795
Burkholderia choica	Bacteria	Proteobacteria	Betaproteobacteria	9.77621	62.6	8972	8911
Burkholderia contaminans	Bacteria	Proteobacteria	Betaproteobacteria	9.26324	66.3954	7577	7390
Burkholderia cordobensis	Bacteria	Proteobacteria	Betaproteobacteria	9.0445	63.7	8312	8026
Burkholderia diffusa	Bacteria	Proteobacteria	Betaproteobacteria	6.91825	66.7	6154	6002
Burkholderia dilworthii	Bacteria	Proteobacteria	Betaproteobacteria	7.67907	61.8	6898	6552
Burkholderia dolosa	Bacteria	Proteobacteria	Betaproteobacteria	6.4204	0	0	0
Burkholderia ferrariae	Bacteria	Proteobacteria	Betaproteobacteria	7.93864	0	0	0
Burkholderia fungorum	Bacteria	Proteobacteria	Betaproteobacteria	9.05898	61.7706	8090	7860
Burkholderia ginsengisoli	Bacteria	Proteobacteria	Betaproteobacteria	6.54189	0	0	0
Burkholderia gladioli	Bacteria	Proteobacteria	Betaproteobacteria	9.31283	68.1	7939	7681
Burkholderia glathei	Bacteria	Proteobacteria	Betaproteobacteria	8.63738	64.7	7711	7368
Burkholderia glumae	Bacteria	Proteobacteria	Betaproteobacteria	7.28464	68.3	5890	5223
Burkholderia graminis	Bacteria	Proteobacteria	Betaproteobacteria	7.47726	0	0	0
Burkholderia grimmiae	Bacteria	Proteobacteria	Betaproteobacteria	6.7043	63.0	6165	5926
Burkholderia heleia	Bacteria	Proteobacteria	Betaproteobacteria	8.00747	0	0	0
Burkholderia humi Vandamme et al. 2013	Bacteria	Proteobacteria	Betaproteobacteria	7.6192	62.8	6959	6899
Burkholderia jiangsuensis	Bacteria	Proteobacteria	Betaproteobacteria	8.61105	62.6	7846	7597
Burkholderia kururiensis	Bacteria	Proteobacteria	Betaproteobacteria	7.12886	0	0	0
Burkholderia lata	Bacteria	Proteobacteria	Betaproteobacteria	8.67628	66.8	7712	7552
Burkholderia latens	Bacteria	Proteobacteria	Betaproteobacteria	6.49916	66.5	5756	5618
Burkholderia mallei	Bacteria	Proteobacteria	Betaproteobacteria	5.83553	68.5188	5236	4995
Burkholderia mimosarum	Bacteria	Proteobacteria	Betaproteobacteria	8.64028	0	0	0
Burkholderia multivorans	Bacteria	Proteobacteria	Betaproteobacteria	7.28187	67.5	7401	7056
Burkholderia nodosa	Bacteria	Proteobacteria	Betaproteobacteria	9.62797	0	0	0
Burkholderia oklahomensis	Bacteria	Proteobacteria	Betaproteobacteria	7.31367	66.9427	6410	6193
Burkholderia oxyphila	Bacteria	Proteobacteria	Betaproteobacteria	10.6477	0	0	0
Burkholderia phenoliruptrix	Bacteria	Proteobacteria	Betaproteobacteria	7.65113	0	0	0
Burkholderia phymatum	Bacteria	Proteobacteria	Betaproteobacteria	8.67656	0	0	0
Burkholderia phytofirmans	Bacteria	Proteobacteria	Betaproteobacteria	8.21466	0	0	0
Burkholderia plantarii	Bacteria	Proteobacteria	Betaproteobacteria	8.08105	68.5777	6666	6426
Burkholderia pseudomallei	Bacteria	Proteobacteria	Betaproteobacteria	7.24755	68.3	6868	6458
Burkholderia pseudomultivorans	Bacteria	Proteobacteria	Betaproteobacteria	7.9091	67.6	6991	6807
Burkholderia pyrrocinia	Bacteria	Proteobacteria	Betaproteobacteria	8.25686	67.3	7381	7175
Burkholderia rhizoxinica	Bacteria	Proteobacteria	Betaproteobacteria	3.75014	0	0	0
Burkholderia sacchari	Bacteria	Proteobacteria	Betaproteobacteria	7.26374	64.0	6415	6139
Burkholderia seminalis	Bacteria	Proteobacteria	Betaproteobacteria	7.55022	67.4	6745	6600
Burkholderia sordidicola	Bacteria	Proteobacteria	Betaproteobacteria	10.2619	60.1	8986	8671
Burkholderia sprentiae	Bacteria	Proteobacteria	Betaproteobacteria	7.76106	0	0	0
Burkholderia stagnalis	Bacteria	Proteobacteria	Betaproteobacteria	7.93018	67.8	6973	6765
Burkholderia telluris	Bacteria	Proteobacteria	Betaproteobacteria	7.05611	64.0	6443	6388
Burkholderia terrae	Bacteria	Proteobacteria	Betaproteobacteria	11.2941	0	0	0
Burkholderia terrestris	Bacteria	Proteobacteria	Betaproteobacteria	8.20136	62.6	7680	7623
Burkholderia territorii	Bacteria	Proteobacteria	Betaproteobacteria	7.26739	66.9	6466	6286
Burkholderia thailandensis	Bacteria	Proteobacteria	Betaproteobacteria	7.24599	67.8	6195	5987
Burkholderia ubonensis	Bacteria	Proteobacteria	Betaproteobacteria	8.36728	67.6	7475	7181
Burkholderia udeis	Bacteria	Proteobacteria	Betaproteobacteria	10.0516	60.0	9329	9277
Burkholderia vietnamiensis	Bacteria	Proteobacteria	Betaproteobacteria	8.39107	67.5	6874	6662
Burkholderia xenovorans	Bacteria	Proteobacteria	Betaproteobacteria	9.73114	0	0	0
Burkholderia zhejiangensis	Bacteria	Proteobacteria	Betaproteobacteria	7.76722	62.8	7211	6980
Burkholderiaceae bacterium 16	Bacteria	Proteobacteria	Betaproteobacteria	9.49001	64.7	8616	8210
Burkholderiaceae bacterium 26	Bacteria	Proteobacteria	Betaproteobacteria	5.683	63.4	5208	5106
Burkholderiales bacterium 1_1_47	Bacteria	Proteobacteria	Betaproteobacteria	2.65565	48.5	2465	2338
Burkholderiales bacterium GJ-E10	Bacteria	Proteobacteria	Betaproteobacteria	3.27655	66.3	3084	2951
Burkholderiales bacterium Ga0074133	Bacteria	Proteobacteria	Betaproteobacteria	4.34279	65.2	0	0
Burkholderiales bacterium Ga0077543	Bacteria	Proteobacteria	Betaproteobacteria	5.18653	68.3	0	0
Burkholderiales bacterium Ga0077544	Bacteria	Proteobacteria	Betaproteobacteria	3.24815	51.8	0	0
Burkholderiales bacterium Ga0077547	Bacteria	Proteobacteria	Betaproteobacteria	2.84326	65.2	0	0
Burkholderiales bacterium JGI 0001002-H06	Bacteria	Proteobacteria	Betaproteobacteria	0.415398	66.4	0	0
Burkholderiales bacterium JGI 0001003-A5	Bacteria	Proteobacteria	Betaproteobacteria	0.686115	64.5	0	0
Burkholderiales bacterium JGI 0001003-J08	Bacteria	Proteobacteria	Betaproteobacteria	0.394907	64.6	0	0
Burkholderiales bacterium JOSHI_001	Bacteria	Proteobacteria	Betaproteobacteria	5.60063	68.8	4911	4793
Buttiauxella agrestis	Bacteria	Proteobacteria	Gammaproteobacteria	4.76674	49.3	4387	4250
Butyricicoccus pullicaecorum	Bacteria	Terrabacteria group	Firmicutes	3.32572	0	0	0
Butyricimonas synergistica	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.77084	0	0	0
Butyricimonas virosa	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.71786	0	0	0
Butyrivibrio	Bacteria	Terrabacteria group	Firmicutes	4.47091	0	0	0
Butyrivibrio crossotus	Bacteria	Terrabacteria group	Firmicutes	2.49604	0	0	0
Butyrivibrio crossotus CAG:259	Bacteria	Terrabacteria group	Firmicutes	2.09032	37.6	2008	1976
Butyrivibrio fibrisolvens	Bacteria	Terrabacteria group	Firmicutes	4.31544	0	0	0
Butyrivibrio hungatei	Bacteria	Terrabacteria group	Firmicutes	3.37254	0	0	0
Butyrivibrio proteoclasticus	Bacteria	Terrabacteria group	Firmicutes	4.40489	0	0	0
Byssovorax cruenta	Bacteria	Proteobacteria	delta/epsilon subdivisions	5.98731	0	0	0
Caedibacter varicaedens	Bacteria	Proteobacteria	Alphaproteobacteria	1.68685	42.1	1770	1726
Caenimonas	Bacteria	Proteobacteria	Betaproteobacteria	4.72144	0	0	0
Caenispirillum salinarum	Bacteria	Proteobacteria	Alphaproteobacteria	4.95247	0	0	0
Caldalkalibacillus thermarum	Bacteria	Terrabacteria group	Firmicutes	2.89546	0	0	0
Caldanaerobacter subterraneus	Bacteria	Terrabacteria group	Firmicutes	2.68945	37.9	2190	2190
Caldanaerobius polysaccharolyticus	Bacteria	Terrabacteria group	Firmicutes	2.49986	0	0	0
Caldibacillus debilis	Bacteria	Terrabacteria group	Firmicutes	3.05952	50.9	3462	3312
Caldicellulosiruptor	Bacteria	Terrabacteria group	Firmicutes	2.83448	0	0	0
Caldicellulosiruptor acetigenus	Bacteria	Terrabacteria group	Firmicutes	2.58996	0	0	0
Caldicellulosiruptor bescii	Bacteria	Terrabacteria group	Firmicutes	2.93166	0	0	0
Caldicellulosiruptor hydrothermalis	Bacteria	Terrabacteria group	Firmicutes	2.77068	0	0	0
Caldicellulosiruptor kristjanssonii	Bacteria	Terrabacteria group	Firmicutes	2.80244	0	0	0
Caldicellulosiruptor kronotskyensis	Bacteria	Terrabacteria group	Firmicutes	2.84379	0	0	0
Caldicellulosiruptor lactoaceticus	Bacteria	Terrabacteria group	Firmicutes	2.67481	0	0	0
Caldicellulosiruptor obsidiansis	Bacteria	Terrabacteria group	Firmicutes	2.53234	0	0	0
Caldicellulosiruptor owensensis	Bacteria	Terrabacteria group	Firmicutes	2.4289	0	0	0
Caldicellulosiruptor saccharolyticus	Bacteria	Terrabacteria group	Firmicutes	2.97027	0	0	0
Caldicoprobacter oshimai	Bacteria	Terrabacteria group	Firmicutes	2.72504	0	0	0
Caldilinea aerophila	Bacteria	Terrabacteria group	Chloroflexi	5.14487	0	0	0
Caldimicrobium thiodismutans	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	1.81495	38.3	1823	1774
Caldimonas manganoxidans	Bacteria	Proteobacteria	Betaproteobacteria	3.53212	0	0	0
Caldisalinibacter kiritimatiensis	Bacteria	Terrabacteria group	Firmicutes	2.7882	30.1	2638	2547
Caldiserica bacterium JGI 0000059-M03	Bacteria	Caldiserica	unclassified Caldiserica	0.503801	35.1	0	0
Caldisericum exile	Bacteria	Caldiserica	Caldisericia	1.5581	0	0	0
Calditerricola satsumensis	Bacteria	Terrabacteria group	Firmicutes	2.22217	0	0	0
Calditerrivibrio nitroreducens	Bacteria	Deferribacteres	Deferribacteres	2.21655	0	0	0
Caldithrix abyssi	Bacteria	FCB group	Caldithrix	4.95544	0	0	0
Calescamantes bacterium JGI 0000106-G12	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.24417	33.8	0	0
Calescamantes bacterium JGI 0000106-H18	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.590496	34.2	0	0
Calescamantes bacterium JGI 0000106-I17	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.1816	30.1	0	0
Calescamantes bacterium JGI 0000106-I5	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.292729	34.2	0	0
Calescamantes bacterium JGI 0000106-J16	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.07592	33.8	0	0
Calescamantes bacterium JGI 0000106-M22	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.07507	33.7	0	0
Calescamantes bacterium JGI 0000106-N5	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.638377	33.5	0	0
Calescamantes bacterium JGI 0000106-N7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.4777	33.8	0	0
Calescamantes bacterium JGI 0000106-P5	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.531498	34.2	0	0
Calescamantes bacterium SCGC AAA471-M6	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.9143	34.4	0	0
Calescamantes bacterium T3.1	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.28684	34.9	0	0
Caloramator	Bacteria	Terrabacteria group	Firmicutes	2.53077	0	0	0
Caloramator australicus	Bacteria	Terrabacteria group	Firmicutes	2.63845	0	0	0
Caloramator mitchellensis	Bacteria	Terrabacteria group	Firmicutes	2.41936	33.2	2426	2329
Caloranaerobacter	Bacteria	Terrabacteria group	Firmicutes	2.26188	0	0	0
Caloranaerobacter azorensis	Bacteria	Terrabacteria group	Firmicutes	2.4239	0	0	0
Calothrix	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	11.5844	0	0	0
Calyptogena okutanii thioautotrophic gill symbiont	Bacteria	Proteobacteria	Gammaproteobacteria	1.02215	0	0	0
Caminibacter mediatlanticus	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.66362	0	0	0
Campylobacter	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.45517	0	0	0
Campylobacter coli	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.87224	32.1	2290	2180
Campylobacter concisus	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.09941	37.6	1867	1765
Campylobacter corcagiensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.67318	31.9	1732	1657
Campylobacter cuniculorum	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.87141	0	0	0
Campylobacter curvus	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.97126	0	0	0
Campylobacter fetus	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.77361	33.1	1836	1210
Campylobacter gracilis	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.28165	46.6	2254	2133
Campylobacter hominis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.71495	0	0	0
Campylobacter hyointestinalis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.73327	0	0	0
Campylobacter iguaniorum	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.75464	35.7922	1900	1827
Campylobacter insulaenigrae	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.46508	0	0	0
Campylobacter jejuni	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.64148	54.0	1997	1903
Campylobacter lari	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.57166	29.8	1605	1528
Campylobacter mucosalis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.75173	36.6	1815	1600
Campylobacter peloridis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.76279	0	0	0
Campylobacter rectus	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.51311	0	0	0
Campylobacter showae	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.12517	0	0	0
Campylobacter sputorum	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.78058	0	0	0
Campylobacter subantarcticus	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.85299	0	0	0
Campylobacter upsaliensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.64915	0	0	0
Campylobacter ureolyticus	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.69846	29.0	1701	1609
Campylobacter volucris	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.51795	0	0	0
Candidatus Accumulibacter	Bacteria	Proteobacteria	Betaproteobacteria	4.94794	0	0	0
Candidatus Accumulibacter phosphatis	Bacteria	Proteobacteria	Betaproteobacteria	5.30613	63.9	0	0
Candidatus Achromatium palustre	Bacteria	Proteobacteria	Gammaproteobacteria	3.64568	38.1	0	0
Candidatus Adiutrix intracellularis	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.07649	0	1442	1283
Candidatus Adlerbacteria bacterium GW2011_GWA1_54_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.596207	53.7	649	648
Candidatus Adlerbacteria bacterium GW2011_GWA2_54_12	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.256641	53.6	278	275
Candidatus Adlerbacteria bacterium GW2011_GWB1_54_7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.605084	53.8	643	641
Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.830557	49.9	911	910
Candidatus Aerophobus profundus SCGC AAA252-L23	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.30596	43.4	0	0
Candidatus Alistipes marseilloanorexicus	Bacteria	FCB group	Bacteroidetes/Chlorobi group	2.77282	0	0	0
Candidatus Altimarinus pacificus JGI 0000068-E11	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.501814	29.2	0	0
Candidatus Amesbacteria bacterium GW2011_GWA1_44_24	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.08478	46.3	1129	1129
Candidatus Amesbacteria bacterium GW2011_GWA1_46_35	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.749932	45.9	878	878
Candidatus Amesbacteria bacterium GW2011_GWA1_47_16	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.899933	47.3	1013	1013
Candidatus Amesbacteria bacterium GW2011_GWA1_47_20	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.692671	46.8	845	845
Candidatus Amesbacteria bacterium GW2011_GWA1_48_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.8907	47.7	1038	1038
Candidatus Amesbacteria bacterium GW2011_GWA2_42_12	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.711674	41.6	830	823
Candidatus Amesbacteria bacterium GW2011_GWA2_47_11	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.883773	47.5	1008	1008
Candidatus Amesbacteria bacterium GW2011_GWA2_47_11b	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.758139	46.6	936	935
Candidatus Amesbacteria bacterium GW2011_GWA2_47_70	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.612222	46.1	726	726
Candidatus Amesbacteria bacterium GW2011_GWB1_47_19	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.998151	47.0	1068	1061
Candidatus Amesbacteria bacterium GW2011_GWB1_47_26	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.747913	46.1	867	867
Candidatus Amesbacteria bacterium GW2011_GWB1_48_13	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.933366	47.8	1068	1067
Candidatus Amesbacteria bacterium GW2011_GWC1_46_24	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.00916	46.8	1079	1072
Candidatus Amesbacteria bacterium GW2011_GWC1_47_15	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.914308	47.2	1033	1026
Candidatus Amesbacteria bacterium GW2011_GWC1_48_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.85905	47.8	989	986
Candidatus Amesbacteria bacterium GW2011_GWC2_45_19	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.813806	46.1	918	918
Candidatus Amesbacteria bacterium GW2011_GWC2_47_8	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.661848	46.5	822	822
Candidatus Aminicenans sakinawicola JGI OTU-1	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.91363	39.3	0	0
Candidatus Amoebophilus asiaticus	Bacteria	FCB group	Bacteroidetes/Chlorobi group	1.88436	0	0	0
Candidatus Ancillula trichonymphae	Bacteria	Terrabacteria group	Actinobacteria	1.15841	0	0	0
Candidatus Aquiluna	Bacteria	Terrabacteria group	Actinobacteria	1.35986	0	0	0
Candidatus Arcanobacter lacustris	Bacteria	Proteobacteria	Alphaproteobacteria	0.822563	32.6	893	882
Candidatus Arthromitus	Bacteria	Terrabacteria group	Firmicutes	1.51556	0	0	0
Candidatus Atelocyanobacterium thalassa	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	1.44381	0	0	0
Candidatus Azambacteria bacterium GW2011_GWA1_42_19	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.544781	41.5	603	603
Candidatus Azambacteria bacterium GW2011_GWA1_44_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.676385	43.4	730	730
Candidatus Azambacteria bacterium GW2011_GWA2_39_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.282149	38.5	338	338
Candidatus Azambacteria bacterium GW2011_GWA2_42_62	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.359135	42.0	432	431
Candidatus Azambacteria bacterium GW2011_GWA2_42_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.548203	41.1	606	605
Candidatus Azambacteria bacterium GW2011_GWA2_45_90	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.473723	46.1	492	491
Candidatus Azambacteria bacterium GW2011_GWB1_42_17	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.543986	41.3	582	582
Candidatus Azambacteria bacterium GW2011_GWB1_42_72	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.393369	41.9	474	474
Candidatus Azambacteria bacterium GW2011_GWB1_46_27	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.633393	45.9	676	674
Candidatus Azambacteria bacterium GW2011_GWB2_46_37	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.747851	46.1	762	760
Candidatus Azambacteria bacterium GW2011_GWC1_46_13	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.658356	46.3	650	648
Candidatus Azambacteria bacterium GW2011_GWC2_43_27	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.589445	42.3	623	622
Candidatus Azambacteria bacterium GW2011_GWC2_45_7b	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.423355	44.6	491	490
Candidatus Azambacteria bacterium GW2011_GWD1_43_18	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.586558	42.3	614	612
Candidatus Azambacteria bacterium GW2011_GWD2_46_48	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.572759	46.1	612	610
Candidatus Azambacteria bacterium GW2011_GWE1_42_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.57223	42.4	629	628
Candidatus Azambacteria bacterium GW2011_GWE2_46_45	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.54937	46.0	583	581
Candidatus Azambacteria bacterium GW2011_GWF1_41_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.627513	42.2	644	644
Candidatus Azambacteria bacterium GW2011_GWF2_42_22	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.625872	42.3	641	639
Candidatus Azambacteria bacterium GW2011_GWF2_46_32	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.61393	46.1	662	661
Candidatus Azobacteroides pseudotrichonymphae	Bacteria	FCB group	Bacteroidetes/Chlorobi group	1.22492	0	0	0
Candidatus Babela massiliensis	Bacteria	Proteobacteria	delta/epsilon subdivisions	1.11842	27.4	1015	963
Candidatus Bacteroides periocalifornicus	Bacteria	FCB group	Bacteroidetes/Chlorobi group	2.51642	55.8	1869	1678
Candidatus Bacteroides timonensis	Bacteria	FCB group	Bacteroidetes/Chlorobi group	7.01722	0	0	0
Candidatus Bartonella ancashi	Bacteria	Proteobacteria	Alphaproteobacteria	1.46769	38.4	1287	1177
Candidatus Baumannia cicadellinicola	Bacteria	Proteobacteria	Gammaproteobacteria	0.636137	39.0	723	662
Candidatus Beckwithbacteria bacterium GW2011_GWA1_46_30	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.08633	48.5	1173	1171
Candidatus Beckwithbacteria bacterium GW2011_GWA2_43_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.585797	43.0	698	697
Candidatus Beckwithbacteria bacterium GW2011_GWA2_47_25	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.14798	48.6	1241	1240
Candidatus Beckwithbacteria bacterium GW2011_GWB1_47_15	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.08566	48.7	1148	1146
Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.04989	48.9	1160	1113
Candidatus Beckwithbacteria bacterium GW2011_GWC2_47_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.357038	47.3	402	402
Candidatus Beckwithbacteria bacterium GW2011_GWC2_49_11	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.959638	49.1	1060	1059
Candidatus Blastococcus massiliensis	Bacteria	Terrabacteria group	Actinobacteria	3.87468	0	0	0
Candidatus Blochmannia chromaiodes	Bacteria	Proteobacteria	Gammaproteobacteria	0.791219	0	0	0
Candidatus Blochmannia floridanus	Bacteria	Proteobacteria	Gammaproteobacteria	0.705557	27.4	628	582
Candidatus Blochmannia pennsylvanicus	Bacteria	Proteobacteria	Gammaproteobacteria	0.791654	0	0	0
Candidatus Blochmannia vafer	Bacteria	Proteobacteria	Gammaproteobacteria	0.722585	0	0	0
Candidatus Brocadia fulgida	Bacteria	PVC group	Planctomycetes	3.55294	44.9	3444	3401
Candidatus Brocadia sinica	Bacteria	PVC group	Planctomycetes	4.077	0	3694	3650
Candidatus Burkholderia brachyanthoides	Bacteria	Proteobacteria	Betaproteobacteria	3.54553	61.2	3316	2137
Candidatus Burkholderia calva	Bacteria	Proteobacteria	Betaproteobacteria	4.20861	61.4	5826	2002
Candidatus Burkholderia crenata	Bacteria	Proteobacteria	Betaproteobacteria	2.84374	59.0	2672	1843
Candidatus Burkholderia humilis	Bacteria	Proteobacteria	Betaproteobacteria	5.14899	60.1	5086	3121
Candidatus Burkholderia kirkii	Bacteria	Proteobacteria	Betaproteobacteria	4.00944	64.0	3781	2323
Candidatus Burkholderia pumila	Bacteria	Proteobacteria	Betaproteobacteria	3.68122	59.3	4763	1737
Candidatus Burkholderia schumannianae	Bacteria	Proteobacteria	Betaproteobacteria	2.356	0	0	0
Candidatus Burkholderia verschuerenii	Bacteria	Proteobacteria	Betaproteobacteria	6.18848	61.9	5898	4699
Candidatus Caedibacter acanthamoebae	Bacteria	Proteobacteria	Alphaproteobacteria	2.17577	37.9185	1775	1683
Candidatus Caldatribacterium californiense OP9-cSCG	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.08053	55.5	0	0
Candidatus Caldatribacterium saccharofermentans OP9-77CS	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.25236	55.8	0	0
Candidatus Calescibacterium nevadense OTU 1	Bacteria	unclassified Bacteria	Bacteria candidate phyla	2.3179	34.2	0	0
Candidatus Campbellbacteria bacterium GW2011_GWC1_35_31	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.743731	34.7	769	765
Candidatus Campbellbacteria bacterium GW2011_GWC2_35_28	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.638308	34.6	661	660
Candidatus Campbellbacteria bacterium GW2011_GWD1_35_49	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.743531	34.7	769	765
Candidatus Campbellbacteria bacterium GW2011_GWD2_35_24	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.738197	34.6	767	763
Candidatus Campbellbacteria bacterium GW2011_OD1_34_28	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.75263	34.8	743	739
